"DateTime";"Hinta"
"2021-01-01 00:00:00";2.41
"2021-01-01 01:00:00";2.5
"2021-01-01 02:00:00";2.44
"2021-01-01 03:00:00";2.4
"2021-01-31 19:00:00";6.39
"2021-01-31 20:00:00";6.24
"2021-01-31 21:00:00";5.8
"2021-01-31 22:00:00";5.13
"2021-01-31 23:00:00";4.93
"2021-02-01 00:00:00";4.54
"2021-02-01 01:00:00";4.26
"2021-02-01 02:00:00";4.1
"2021-02-01 03:00:00";4.09
"2021-04-05 02:00:00";-0.05
"2021-04-05 03:00:00";-0.14
